judge,baseline,consistent_bug_doc,extract_constants,misleading_doc,mut_compare,mut_offbyone,mut_swap,reformat,rename,strip_docstring
claude,0.7763975155279503,0.9735099337748344,0.7816901408450704,0.36645962732919257,0.9743589743589743,0.8682170542635659,0.944954128440367,0.7888198757763976,0.8322981366459627,0.7639751552795031
deepseek,0.5838509316770186,0.9933774834437086,0.5400943396226415,0.0,0.9829059829059829,0.9922480620155039,1.0,0.5904365904365905,0.5859213250517599,0.5414937759336099
gpt,0.7391304347826086,0.9977924944812362,0.6314553990610329,0.33126293995859213,0.9943019943019943,0.9560723514211886,0.9908256880733946,0.7556935817805382,0.7080745341614907,0.7329192546583851
llama,0.8633540372670807,0.9183222958057395,0.7206572769953051,0.07660455486542443,0.8005698005698005,0.7881136950904393,0.8715596330275229,0.8799171842650103,0.84472049689441,0.8530020703933747
qwen,0.855072463768116,0.9381898454746137,0.6431924882629108,0.03112033195020747,0.9031339031339032,0.9509043927648578,0.9908256880733946,0.8488612836438924,0.8509316770186336,0.8343685300207039
